alpha_absolute,axis,condition,control_scale,decision_flipped,delta_margin,direction,direction_sd,direction_type,intervention,judgment_axis,label,margin,max_relative_norm_drift,mode,random_id,standardized_shift,steering_axis,story_id,strength,topic_idx,vector_kind
-6.843675994873047,warmth,high_warmth,sd_matched,False,-0.125,warmth,3.2506901293408137,target,additive,warmth,1,21.6875,0.01359609141945839,steering,,-2.105299404917697,warmth,high_warmth_t079_s00168,-0.1,79,raw
-6.843675994873047,warmth,high_warmth,sd_matched,False,-0.3125,warmth,3.2506901293408137,target,additive,warmth,1,21.8125,0.01359609141945839,steering,,-2.105299404917697,warmth,high_warmth_t097_s00196,-0.1,97,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-0.125,warmth,3.2506901293408137,target,additive,warmth,0,-23.0625,0.014657867141067982,steering,,-2.105299404917697,warmth,low_warmth_t019_s00005,-0.1,19,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-0.1875,warmth,3.2506901293408137,target,additive,warmth,0,-22.6875,0.014695163816213608,steering,,-2.105299404917697,warmth,low_warmth_t003_s00029,-0.1,3,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-0.1875,warmth,3.2506901293408137,target,additive,warmth,0,-23.125,0.014695163816213608,steering,,-2.105299404917697,warmth,low_warmth_t008_s00049,-0.1,8,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-1.0,warmth,3.2506901293408137,target,additive,warmth,0,-21.4375,0.014695163816213608,steering,,-2.105299404917697,warmth,low_warmth_t035_s00093,-0.1,35,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-0.3125,warmth,3.2506901293408137,target,additive,warmth,0,-23.5,0.014695163816213608,steering,,-2.105299404917697,warmth,low_warmth_t056_s00129,-0.1,56,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-0.4375,warmth,3.2506901293408137,target,additive,warmth,0,-23.125,0.014695163816213608,steering,,-2.105299404917697,warmth,low_warmth_t057_s00133,-0.1,57,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-0.0625,warmth,3.2506901293408137,target,additive,warmth,0,-23.0,0.015146923251450062,steering,,-2.105299404917697,warmth,low_warmth_t066_s00141,-0.1,66,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-0.375,warmth,3.2506901293408137,target,additive,warmth,0,-22.375,0.015146923251450062,steering,,-2.105299404917697,warmth,low_warmth_t078_s00165,-0.1,78,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-0.4375,warmth,3.2506901293408137,target,additive,warmth,0,-23.5625,0.015146923251450062,steering,,-2.105299404917697,warmth,low_warmth_t079_s00169,-0.1,79,raw
-6.843675994873047,warmth,low_warmth,sd_matched,False,-0.25,warmth,3.2506901293408137,target,additive,warmth,0,-23.4375,0.015146923251450062,steering,,-2.105299404917697,warmth,low_warmth_t097_s00197,-0.1,97,raw
-3.4218379974365236,warmth,high_warmth,sd_matched,False,-0.3125,warmth,3.2506901293408137,target,additive,warmth,1,22.8125,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t019_s00004,-0.05,19,raw
-3.4218379974365236,warmth,high_warmth,sd_matched,False,-0.0625,warmth,3.2506901293408137,target,additive,warmth,1,21.75,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t003_s00028,-0.05,3,raw
-3.4218379974365236,warmth,high_warmth,sd_matched,False,-0.4375,warmth,3.2506901293408137,target,additive,warmth,1,21.875,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t008_s00048,-0.05,8,raw
-3.4218379974365236,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,22.0,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t035_s00092,-0.05,35,raw
-3.4218379974365236,warmth,high_warmth,sd_matched,False,0.125,warmth,3.2506901293408137,target,additive,warmth,1,21.75,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t056_s00128,-0.05,56,raw
-3.4218379974365236,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,21.0,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t057_s00132,-0.05,57,raw
