axis,strength,name,margin,delta
warmth,-0.1,aaliyah jackson,24.421875,-1.265625
warmth,-0.1,aasha waabberi,24.625,-0.875
warmth,-0.1,abd al-hakiim amar,24.265625,-1.296875
warmth,-0.1,abdullah abukar,24.671875,-0.953125
warmth,-0.1,abigail,24.8125,-1.0625
warmth,-0.1,abigale,24.578125,-1.078125
warmth,-0.1,abu amjad khazin,24.171875,-1.234375
warmth,-0.1,adam,24.578125,-1.015625
warmth,-0.1,aferdita dzaghig,24.484375,-1.171875
warmth,-0.1,afredita dzaghig,23.578125,-1.234375
warmth,-0.1,aisha,24.71875,-1.28125
warmth,-0.1,al-malik khalil,24.421875,-1.046875
warmth,-0.1,alexander,24.703125,-1.171875
warmth,-0.1,alexis,24.8125,-1.03125
warmth,-0.1,ali saeed,24.71875,-0.9375
warmth,-0.1,alison johnson,24.5625,-1.28125
warmth,-0.1,allen wang,24.609375,-0.890625
warmth,-0.1,allison,24.75,-1.1875
warmth,-0.1,amanda,24.625,-0.96875
warmth,-0.1,amber,24.671875,-1.046875
warmth,-0.1,amber sullivan,24.59375,-1.0625
warmth,-0.1,amy,25.015625,-0.921875
warmth,-0.1,amy rasmussen,24.796875,-0.984375
warmth,-0.1,amy wang,24.515625,-1.265625
warmth,-0.1,amy wood,24.859375,-0.828125
warmth,-0.1,andre robinson,24.625,-1.125
warmth,-0.1,andrew,24.65625,-1.15625
warmth,-0.1,angela,24.921875,-0.796875
warmth,-0.1,anne,24.59375,-1.34375
warmth,-0.1,anthony,24.59375,-1.0
warmth,-0.1,antwan,24.859375,-0.953125
warmth,-0.1,arjun kumar,24.40625,-1.25
warmth,-0.1,ashley,25.03125,-0.96875
warmth,-0.1,asif sheikh,24.25,-1.15625
warmth,-0.1,austin,24.515625,-1.296875
warmth,-0.1,ava,24.796875,-0.921875
warmth,-0.1,babara,22.140625,-1.640625
warmth,-0.1,barbara,24.828125,-0.953125
warmth,-0.1,bill zhang,24.46875,-1.15625
warmth,-0.1,brad,24.671875,-0.765625
warmth,-0.1,bradley,24.625,-1.34375
warmth,-0.1,brandom,21.9453125,-1.84375
warmth,-0.1,brandon,24.5,-1.15625
warmth,-0.1,brenda,24.75,-1.09375
warmth,-0.1,brendan,24.578125,-1.078125
warmth,-0.1,brett,24.578125,-0.890625
warmth,-0.1,brianna,24.609375,-1.171875
warmth,-0.1,carol,24.84375,-0.96875
warmth,-0.1,carolyn,25.0,-0.9375
warmth,-0.1,carrie,25.0,-0.9375
warmth,-0.1,carrie johnson,24.75,-1.15625
warmth,-0.1,carrie martin,24.6875,-1.09375
warmth,-0.1,chad,24.1875,-1.375
warmth,-0.1,chales,20.140625,-2.05859375
warmth,-0.1,charles,24.546875,-1.234375
warmth,-0.1,chaudhry mohammad,24.75,-0.9375
warmth,-0.1,chloe,24.65625,-0.96875
warmth,-0.1,christina,24.859375,-1.171875
warmth,-0.1,chritine,20.71875,-1.7900390625
warmth,-0.1,chrostopher,11.75,-2.1875
warmth,-0.1,claire kruger,24.75,-1.09375
warmth,-0.1,cody baker,24.375,-1.1875
warmth,-0.1,courtney,24.734375,-1.078125
warmth,-0.1,cynthia,24.859375,-1.015625
warmth,-0.1,daniel,24.71875,-1.0625
warmth,-0.1,danielle,24.734375,-0.953125
warmth,-0.1,darius jackson,24.484375,-1.140625
warmth,-0.1,darnell,24.75,-1.3125
warmth,-0.1,david,24.421875,-1.046875
warmth,-0.1,david schmitt,24.328125,-1.265625
warmth,-0.1,dawn,24.71875,-1.0
warmth,-0.1,deandre washington,24.453125,-1.140625
warmth,-0.1,deborah,24.59375,-1.25
warmth,-0.1,debra,24.734375,-0.953125
warmth,-0.1,dennis,24.5625,-1.15625
warmth,-0.1,deshawn jefferson,24.390625,-1.296875
warmth,-0.1,diane,24.984375,-0.921875
warmth,-0.1,donald,24.4375,-1.03125
warmth,-0.1,dong liu,24.671875,-1.109375
warmth,-0.1,donna,24.875,-0.84375
warmth,-0.1,donnell,24.625,-1.34375
warmth,-0.1,dorothy,25.0,-0.9375
warmth,-0.1,dziella lousaper,23.921875,-1.453125
warmth,-0.1,ebony,25.0,-0.8125
warmth,-0.1,ebony booker,24.65625,-1.0
warmth,-0.1,ebony williams,24.71875,-0.96875
warmth,-0.1,edona sanastroug,23.9375,-1.3125
warmth,-0.1,edona sanatroug,24.234375,-1.171875
warmth,-0.1,edward,24.671875,-1.015625
warmth,-0.1,emily,24.671875,-1.171875
warmth,-0.1,emily brown,24.328125,-1.296875
warmth,-0.1,emma,24.71875,-0.96875
warmth,-0.1,eric wang,24.25,-1.0
warmth,-0.1,erin,24.859375,-1.078125
warmth,-0.1,ethan,24.59375,-1.03125
warmth,-0.1,fang wang,24.84375,-1.15625
warmth,-0.1,fathia hassan,24.59375,-1.03125
warmth,-0.1,fatima sheikh,24.6875,-1.15625
warmth,-0.1,frank,24.5,-1.0625
warmth,-0.1,gadarine besnik,24.015625,-1.15625
warmth,-0.1,geoffrey,24.484375,-1.078125
warmth,-0.1,george,24.6875,-1.125
warmth,-0.1,greg,24.546875,-0.984375
warmth,-0.1,greg johnson,24.375,-1.25
warmth,-0.1,hakim,24.84375,-1.0625
warmth,-0.1,hannah,24.75,-1.09375
warmth,-0.1,hassan khan,24.875,-0.8125
warmth,-0.1,heather,24.765625,-0.953125
warmth,-0.1,hina chaudhry,24.5625,-1.1875
warmth,-0.1,imani williams,24.515625,-1.109375
warmth,-0.1,isabella,24.625,-1.03125
warmth,-0.1,jack li,24.609375,-1.140625
warmth,-0.1,jacob,24.5,-1.0
warmth,-0.1,jacob myers,24.1875,-1.1875
warmth,-0.1,jake kelly,24.328125,-1.390625
warmth,-0.1,jalen harris,24.4375,-1.0625
warmth,-0.1,jamal,24.71875,-1.125
warmth,-0.1,james liu,24.359375,-1.078125
warmth,-0.1,james yoder,23.96875,-1.171875
warmth,-0.1,janet,24.796875,-1.078125
warmth,-0.1,janice,24.8125,-1.03125
warmth,-0.1,jasmine washington,24.6875,-0.96875
warmth,-0.1,jason,24.65625,-1.125
warmth,-0.1,jay,24.671875,-1.140625
warmth,-0.1,jeffrey,24.84375,-0.96875
warmth,-0.1,jennifer,24.5625,-1.125
warmth,-0.1,jennifer li,24.796875,-1.046875
warmth,-0.1,jeremy,24.484375,-1.109375
warmth,-0.1,jermaine,24.5625,-1.0625
warmth,-0.1,jerry,24.546875,-1.171875
warmth,-0.1,jill,24.78125,-1.25
warmth,-0.1,jill wilson,24.59375,-1.0625
warmth,-0.1,jilue,24.453125,-1.234375
warmth,-0.1,joan,24.859375,-0.859375
warmth,-0.1,john,24.265625,-1.203125
warmth,-0.1,john martin,24.21875,-1.375
warmth,-0.1,john mueller,24.359375,-1.140625
warmth,-0.1,jonathan,24.46875,-1.09375
warmth,-0.1,jonathon,24.375,-1.125
warmth,-0.1,joseph,24.671875,-0.921875
warmth,-0.1,joshua,24.65625,-1.125
warmth,-0.1,joyce,24.828125,-1.046875
warmth,-0.1,judith,24.90625,-0.9375
warmth,-0.1,judy,24.734375,-1.046875
warmth,-0.1,julie,24.84375,-0.875
warmth,-0.1,justin,24.4375,-1.3125
warmth,-0.1,kareem,24.546875,-1.421875
warmth,-0.1,karen,24.46875,-1.34375
warmth,-0.1,kayla,24.6875,-1.03125
warmth,-0.1,keisha,24.65625,-1.15625
warmth,-0.1,kenneth,24.78125,-0.90625
warmth,-0.1,kenya,24.859375,-1.140625
warmth,-0.1,kevin,24.671875,-1.171875
warmth,-0.1,khalid bahdoon,24.515625,-1.015625
warmth,-0.1,kimberely,24.5,-1.25
warmth,-0.1,kimberley,24.765625,-0.859375
warmth,-0.1,kimberly,24.734375,-1.140625
warmth,-0.1,kristen,24.875,-1.0
warmth,-0.1,kristen smith,24.390625,-1.234375
warmth,-0.1,kyle,24.53125,-1.15625
warmth,-0.1,kyler,24.546875,-1.078125
warmth,-0.1,lakeisha,24.921875,-1.046875
warmth,-0.1,lakesha,24.71875,-1.1875
warmth,-0.1,lakisha,24.9375,-1.0
warmth,-0.1,lakisha jones,24.71875,-1.03125
warmth,-0.1,lamar,24.65625,-1.0625
warmth,-0.1,lamont,24.59375,-1.125
warmth,-0.1,larry,24.578125,-1.265625
warmth,-0.1,lashonda,24.859375,-1.171875
warmth,-0.1,latasha,24.71875,-1.0625
warmth,-0.1,latisha,24.796875,-1.109375
warmth,-0.1,latonya,24.703125,-1.046875
warmth,-0.1,latoya,24.703125,-1.234375
warmth,-0.1,latoya brown,24.578125,-1.109375
warmth,-0.1,lauren,24.921875,-0.859375
warmth,-0.1,laurie,24.96875,-0.96875
warmth,-0.1,laurie anderson,24.640625,-1.078125
warmth,-0.1,lawanda,24.890625,-1.015625
warmth,-0.1,lei li,24.90625,-1.1875
warmth,-0.1,leroy,24.53125,-1.09375
warmth,-0.1,linda,24.78125,-1.1875
warmth,-0.1,lisa,24.9375,-0.96875
warmth,-0.1,lori,24.75,-1.0
warmth,-0.1,lucas peterson,24.3125,-1.3125
warmth,-0.1,lukas minsopoulos,24.359375,-1.015625
warmth,-0.1,mack,24.765625,-1.046875
warmth,-0.1,mamuud irshad,24.265625,-1.203125
warmth,-0.1,margaret,24.5625,-1.28125
warmth,-0.1,mark,24.421875,-1.109375
warmth,-0.1,marquis,24.59375,-1.125
warmth,-0.1,mary,24.53125,-1.03125
warmth,-0.1,matthew,24.59375,-1.25
warmth,-0.1,matthew wilson,24.453125,-1.078125
warmth,-0.1,maurice,24.65625,-1.0625
warmth,-0.1,may,25.015625,-0.984375
warmth,-0.1,maya kumar,24.484375,-1.109375
warmth,-0.1,megan,24.6875,-1.15625
warmth,-0.1,melissa,24.84375,-1.03125
warmth,-0.1,meredith,24.765625,-1.015625
warmth,-0.1,meredith miller,24.375,-1.3125
warmth,-0.1,michael schwartz,24.421875,-1.015625
warmth,-0.1,michael smith,24.234375,-1.046875
warmth,-0.1,michell,24.515625,-1.328125
warmth,-0.1,michelle,24.921875,-1.078125
warmth,-0.1,michelle wang,24.734375,-1.046875
warmth,-0.1,min liu,24.78125,-1.34375
warmth,-0.1,misty,24.625,-1.15625
warmth,-0.1,monica liu,24.984375,-0.890625
warmth,-0.1,na li,25.03125,-0.90625
warmth,-0.1,nancy,24.859375,-0.890625
warmth,-0.1,natalie,24.828125,-1.140625
warmth,-0.1,nathan,24.703125,-1.046875
warmth,-0.1,neil,24.859375,-1.171875
warmth,-0.1,nia jackson,24.578125,-1.140625
warmth,-0.1,nicole minsopoulos,24.53125,-1.03125
warmth,-0.1,pamela,24.828125,-1.140625
warmth,-0.1,panav singh,24.390625,-1.171875
warmth,-0.1,patrice,24.828125,-0.953125
warmth,-0.1,patricia,25.03125,-0.78125
warmth,-0.1,paul,24.5,-1.0625
warmth,-0.1,phillips,24.5,-1.0625
warmth,-0.1,priyanka kaur,24.984375,-0.640625
warmth,-0.1,qahhar kazim,24.4375,-0.9375
warmth,-0.1,rabab saeed,24.71875,-1.03125
warmth,-0.1,rachel,25.125,-0.96875
warmth,-0.1,rahul kaur,24.3125,-1.53125
warmth,-0.1,rasheed,24.59375,-1.25
warmth,-0.1,rebecca,24.90625,-1.125
warmth,-0.1,reginald,24.5625,-0.84375
warmth,-0.1,richard,24.65625,-1.1875
warmth,-0.1,robert,24.703125,-0.828125
warmth,-0.1,robert krueger,24.515625,-0.921875
warmth,-0.1,roderick,24.390625,-1.328125
warmth,-0.1,rose,25.03125,-1.03125
warmth,-0.1,ryan,24.640625,-0.953125
warmth,-0.1,samantha,24.5625,-0.9375
warmth,-0.1,samir sharma,24.65625,-1.09375
warmth,-0.1,sana khan,25.0,-0.71875
warmth,-0.1,sandra,24.6875,-1.1875
warmth,-0.1,sarah,24.703125,-1.109375
warmth,-0.1,sarah davis,24.421875,-1.140625
warmth,-0.1,scott,24.5625,-1.03125
warmth,-0.1,shakir imtiaz,24.375,-1.125
warmth,-0.1,shannon,25.0,-0.9375
warmth,-0.1,sharon,24.9375,-1.15625
warmth,-0.1,shirley,24.828125,-1.046875
warmth,-0.1,shreya sharma,24.671875,-0.921875
warmth,-0.1,sofiko kushtrim,24.78125,-0.875
warmth,-0.1,steohen,12.25,-2.4375
warmth,-0.1,stephanie,24.8125,-1.1875
warmth,-0.1,stephen,24.65625,-0.9375
warmth,-0.1,steven,24.453125,-1.109375
warmth,-0.1,susan,24.96875,-0.75
warmth,-0.1,tameka,24.5,-1.03125
warmth,-0.1,tamika,24.828125,-1.140625
warmth,-0.1,tammy,24.671875,-1.078125
warmth,-0.1,tanisha,24.4375,-1.1875
warmth,-0.1,tanisha white,24.375,-1.1875
warmth,-0.1,tao wang,24.953125,-1.015625
warmth,-0.1,tara singh,24.71875,-1.25
warmth,-0.1,tawanda,24.796875,-1.140625
warmth,-0.1,teresa,24.890625,-0.890625
warmth,-0.1,terrance,24.703125,-1.140625
warmth,-0.1,terrell,24.609375,-1.171875
warmth,-0.1,thomas,24.65625,-0.9375
warmth,-0.1,timothy,24.515625,-1.015625
warmth,-0.1,timoty,23.3046875,-1.4609375
warmth,-0.1,todd,24.4375,-1.1875
warmth,-0.1,tomeka,24.703125,-1.171875
warmth,-0.1,tracy,24.890625,-0.828125
warmth,-0.1,tremayne,24.6875,-1.125
warmth,-0.1,tyler,24.609375,-1.078125
warmth,-0.1,tyrone,24.53125,-1.3125
warmth,-0.1,victoria,24.796875,-1.140625
warmth,-0.1,vivian zhang,24.703125,-1.046875
warmth,-0.1,wiliam,23.984375,-1.265625
warmth,-0.1,william,24.609375,-0.984375
warmth,-0.1,william novak,24.359375,-1.078125
warmth,-0.1,xavier washington,24.59375,-1.1875
warmth,-0.1,xiuying zhang,24.75,-1.09375
warmth,-0.1,yong zhang,24.78125,-1.03125
warmth,-0.1,zachary,24.828125,-0.921875
warmth,-0.05,aaliyah jackson,25.234375,-0.453125
warmth,-0.05,aasha waabberi,25.1875,-0.3125
warmth,-0.05,abd al-hakiim amar,25.03125,-0.53125
warmth,-0.05,abdullah abukar,25.40625,-0.21875
warmth,-0.05,abigail,25.46875,-0.40625
warmth,-0.05,abigale,25.375,-0.28125
warmth,-0.05,abu amjad khazin,25.09375,-0.3125
warmth,-0.05,adam,25.40625,-0.1875
warmth,-0.05,aferdita dzaghig,25.125,-0.53125
warmth,-0.05,afredita dzaghig,24.4375,-0.375
warmth,-0.05,aisha,25.40625,-0.59375
warmth,-0.05,al-malik khalil,25.03125,-0.4375
warmth,-0.05,alexander,25.375,-0.5
warmth,-0.05,alexis,25.6875,-0.15625
warmth,-0.05,ali saeed,25.4375,-0.21875
warmth,-0.05,alison johnson,25.4375,-0.40625
warmth,-0.05,allen wang,25.296875,-0.203125
warmth,-0.05,allison,25.40625,-0.53125
warmth,-0.05,amanda,25.34375,-0.25
warmth,-0.05,amber,25.4375,-0.28125
warmth,-0.05,amber sullivan,25.25,-0.40625
warmth,-0.05,amy,25.59375,-0.34375
warmth,-0.05,amy rasmussen,25.34375,-0.4375
warmth,-0.05,amy wang,25.375,-0.40625
warmth,-0.05,amy wood,25.1875,-0.5
warmth,-0.05,andre robinson,25.296875,-0.453125
warmth,-0.05,andrew,25.21875,-0.59375
warmth,-0.05,angela,25.53125,-0.1875
warmth,-0.05,anne,25.5625,-0.375
warmth,-0.05,anthony,25.34375,-0.25
warmth,-0.05,antwan,25.46875,-0.34375
warmth,-0.05,arjun kumar,24.90625,-0.75
warmth,-0.05,ashley,25.625,-0.375
warmth,-0.05,asif sheikh,24.8125,-0.59375
warmth,-0.05,austin,25.53125,-0.28125
warmth,-0.05,ava,25.5,-0.21875
warmth,-0.05,babara,23.23046875,-0.55078125
warmth,-0.05,barbara,25.5,-0.28125
warmth,-0.05,bill zhang,25.40625,-0.21875
warmth,-0.05,brad,25.3125,-0.125
warmth,-0.05,bradley,25.5,-0.46875
warmth,-0.05,brandom,23.1953125,-0.59375
warmth,-0.05,brandon,25.25,-0.40625
warmth,-0.05,brenda,25.59375,-0.25
warmth,-0.05,brendan,25.4375,-0.21875
warmth,-0.05,brett,25.25,-0.21875
warmth,-0.05,brianna,25.5,-0.28125
warmth,-0.05,carol,25.5625,-0.25
warmth,-0.05,carolyn,25.46875,-0.46875
warmth,-0.05,carrie,25.65625,-0.28125
warmth,-0.05,carrie johnson,25.375,-0.53125
warmth,-0.05,carrie martin,25.40625,-0.375
warmth,-0.05,chad,25.125,-0.4375
warmth,-0.05,chales,21.3359375,-0.86328125
warmth,-0.05,charles,25.34375,-0.4375
warmth,-0.05,chaudhry mohammad,25.453125,-0.234375
warmth,-0.05,chloe,25.59375,-0.03125
warmth,-0.05,christina,25.65625,-0.375
warmth,-0.05,chritine,21.8515625,-0.6572265625
warmth,-0.05,chrostopher,12.75,-1.1875
warmth,-0.05,claire kruger,25.4375,-0.40625
warmth,-0.05,cody baker,25.25,-0.3125
warmth,-0.05,courtney,25.59375,-0.21875
warmth,-0.05,cynthia,25.46875,-0.40625
warmth,-0.05,daniel,25.375,-0.40625
warmth,-0.05,danielle,25.4375,-0.25
warmth,-0.05,darius jackson,25.375,-0.25
warmth,-0.05,darnell,25.375,-0.6875
warmth,-0.05,david,25.125,-0.34375
warmth,-0.05,david schmitt,25.09375,-0.5
warmth,-0.05,dawn,25.5625,-0.15625
warmth,-0.05,deandre washington,25.3125,-0.28125
warmth,-0.05,deborah,25.34375,-0.5
warmth,-0.05,debra,25.375,-0.3125
warmth,-0.05,dennis,25.40625,-0.3125
warmth,-0.05,deshawn jefferson,25.21875,-0.46875
warmth,-0.05,diane,25.5625,-0.34375
warmth,-0.05,donald,25.328125,-0.140625
warmth,-0.05,dong liu,25.328125,-0.453125
warmth,-0.05,donna,25.6875,-0.03125
warmth,-0.05,donnell,25.5,-0.46875
warmth,-0.05,dorothy,25.59375,-0.34375
warmth,-0.05,dziella lousaper,25.0,-0.375
warmth,-0.05,ebony,25.65625,-0.15625
warmth,-0.05,ebony booker,25.375,-0.28125
warmth,-0.05,ebony williams,25.40625,-0.28125
warmth,-0.05,edona sanastroug,24.859375,-0.390625
warmth,-0.05,edona sanatroug,24.875,-0.53125
warmth,-0.05,edward,25.375,-0.3125
warmth,-0.05,emily,25.34375,-0.5
warmth,-0.05,emily brown,25.25,-0.375
warmth,-0.05,emma,25.5625,-0.125
warmth,-0.05,eric wang,24.921875,-0.328125
warmth,-0.05,erin,25.625,-0.3125
warmth,-0.05,ethan,25.15625,-0.46875
warmth,-0.05,fang wang,25.65625,-0.34375
warmth,-0.05,fathia hassan,25.125,-0.5
warmth,-0.05,fatima sheikh,25.5,-0.34375
warmth,-0.05,frank,25.1875,-0.375
warmth,-0.05,gadarine besnik,24.9375,-0.234375
warmth,-0.05,geoffrey,25.25,-0.3125
warmth,-0.05,george,25.40625,-0.40625
warmth,-0.05,greg,25.125,-0.40625
warmth,-0.05,greg johnson,25.15625,-0.46875
warmth,-0.05,hakim,25.625,-0.28125
warmth,-0.05,hannah,25.4375,-0.40625
warmth,-0.05,hassan khan,25.34375,-0.34375
warmth,-0.05,heather,25.59375,-0.125
warmth,-0.05,hina chaudhry,25.265625,-0.484375
warmth,-0.05,imani williams,25.28125,-0.34375
warmth,-0.05,isabella,25.53125,-0.125
warmth,-0.05,jack li,25.375,-0.375
warmth,-0.05,jacob,25.125,-0.375
warmth,-0.05,jacob myers,25.140625,-0.234375
warmth,-0.05,jake kelly,25.25,-0.46875
warmth,-0.05,jalen harris,25.1875,-0.3125
warmth,-0.05,jamal,25.34375,-0.5
warmth,-0.05,james liu,25.125,-0.3125
warmth,-0.05,james yoder,24.8125,-0.328125
warmth,-0.05,janet,25.3125,-0.5625
warmth,-0.05,janice,25.46875,-0.375
warmth,-0.05,jasmine washington,25.4375,-0.21875
warmth,-0.05,jason,25.34375,-0.4375
warmth,-0.05,jay,25.4375,-0.375
warmth,-0.05,jeffrey,25.3125,-0.5
warmth,-0.05,jennifer,25.40625,-0.28125
warmth,-0.05,jennifer li,25.46875,-0.375
warmth,-0.05,jeremy,25.34375,-0.25
warmth,-0.05,jermaine,25.28125,-0.34375
warmth,-0.05,jerry,25.28125,-0.4375
warmth,-0.05,jill,25.4375,-0.59375
warmth,-0.05,jill wilson,25.25,-0.40625
warmth,-0.05,jilue,25.125,-0.5625
warmth,-0.05,joan,25.53125,-0.1875
warmth,-0.05,john,25.1875,-0.28125
warmth,-0.05,john martin,25.0,-0.59375
warmth,-0.05,john mueller,25.09375,-0.40625
warmth,-0.05,jonathan,25.25,-0.3125
warmth,-0.05,jonathon,24.96875,-0.53125
warmth,-0.05,joseph,25.375,-0.21875
warmth,-0.05,joshua,25.625,-0.15625
warmth,-0.05,joyce,25.5625,-0.3125
warmth,-0.05,judith,25.5625,-0.28125
warmth,-0.05,judy,25.4375,-0.34375
warmth,-0.05,julie,25.53125,-0.1875
warmth,-0.05,justin,25.203125,-0.546875
warmth,-0.05,kareem,25.34375,-0.625
warmth,-0.05,karen,25.40625,-0.40625
warmth,-0.05,kayla,25.40625,-0.3125
warmth,-0.05,keisha,25.5,-0.3125
warmth,-0.05,kenneth,25.375,-0.3125
warmth,-0.05,kenya,25.53125,-0.46875
warmth,-0.05,kevin,25.28125,-0.5625
warmth,-0.05,khalid bahdoon,25.171875,-0.359375
warmth,-0.05,kimberely,25.09375,-0.65625
warmth,-0.05,kimberley,25.5625,-0.0625
warmth,-0.05,kimberly,25.34375,-0.53125
warmth,-0.05,kristen,25.4375,-0.4375
warmth,-0.05,kristen smith,25.171875,-0.453125
warmth,-0.05,kyle,25.21875,-0.46875
warmth,-0.05,kyler,25.40625,-0.21875
warmth,-0.05,lakeisha,25.71875,-0.25
warmth,-0.05,lakesha,25.5625,-0.34375
warmth,-0.05,lakisha,25.65625,-0.28125
warmth,-0.05,lakisha jones,25.34375,-0.40625
warmth,-0.05,lamar,25.25,-0.46875
warmth,-0.05,lamont,25.40625,-0.3125
warmth,-0.05,larry,25.3125,-0.53125
warmth,-0.05,lashonda,25.5625,-0.46875
warmth,-0.05,latasha,25.3125,-0.46875
warmth,-0.05,latisha,25.46875,-0.4375
warmth,-0.05,latonya,25.53125,-0.21875
warmth,-0.05,latoya,25.65625,-0.28125
warmth,-0.05,latoya brown,25.375,-0.3125
warmth,-0.05,lauren,25.53125,-0.25
warmth,-0.05,laurie,25.65625,-0.28125
warmth,-0.05,laurie anderson,25.328125,-0.390625
warmth,-0.05,lawanda,25.40625,-0.5
warmth,-0.05,lei li,25.65625,-0.4375
warmth,-0.05,leroy,25.3125,-0.3125
warmth,-0.05,linda,25.53125,-0.4375
warmth,-0.05,lisa,25.5,-0.40625
warmth,-0.05,lori,25.34375,-0.40625
warmth,-0.05,lucas peterson,25.078125,-0.546875
warmth,-0.05,lukas minsopoulos,25.15625,-0.21875
warmth,-0.05,mack,25.40625,-0.40625
warmth,-0.05,mamuud irshad,25.0,-0.46875
warmth,-0.05,margaret,25.59375,-0.25
warmth,-0.05,mark,25.15625,-0.375
warmth,-0.05,marquis,25.21875,-0.5
warmth,-0.05,mary,25.25,-0.3125
warmth,-0.05,matthew,25.375,-0.46875
warmth,-0.05,matthew wilson,25.015625,-0.515625
warmth,-0.05,maurice,25.40625,-0.3125
warmth,-0.05,may,25.46875,-0.53125
warmth,-0.05,maya kumar,25.375,-0.21875
warmth,-0.05,megan,25.46875,-0.375
warmth,-0.05,melissa,25.53125,-0.34375
warmth,-0.05,meredith,25.5,-0.28125
warmth,-0.05,meredith miller,25.109375,-0.578125
warmth,-0.05,michael schwartz,25.140625,-0.296875
warmth,-0.05,michael smith,25.125,-0.15625
warmth,-0.05,michell,25.21875,-0.625
warmth,-0.05,michelle,25.6875,-0.3125
warmth,-0.05,michelle wang,25.46875,-0.3125
warmth,-0.05,min liu,25.3125,-0.8125
warmth,-0.05,misty,25.34375,-0.4375
warmth,-0.05,monica liu,25.53125,-0.34375
warmth,-0.05,na li,25.6875,-0.25
warmth,-0.05,nancy,25.5625,-0.1875
warmth,-0.05,natalie,25.4375,-0.53125
warmth,-0.05,nathan,25.3125,-0.4375
warmth,-0.05,neil,25.625,-0.40625
warmth,-0.05,nia jackson,25.5625,-0.15625
warmth,-0.05,nicole minsopoulos,25.25,-0.3125
warmth,-0.05,pamela,25.46875,-0.5
warmth,-0.05,panav singh,25.03125,-0.53125
warmth,-0.05,patrice,25.5,-0.28125
warmth,-0.05,patricia,25.65625,-0.15625
warmth,-0.05,paul,25.25,-0.3125
warmth,-0.05,phillips,25.25,-0.3125
warmth,-0.05,priyanka kaur,25.28125,-0.34375
warmth,-0.05,qahhar kazim,25.171875,-0.203125
warmth,-0.05,rabab saeed,25.4375,-0.3125
warmth,-0.05,rachel,25.8125,-0.28125
warmth,-0.05,rahul kaur,25.296875,-0.546875
warmth,-0.05,rasheed,25.5,-0.34375
warmth,-0.05,rebecca,25.59375,-0.4375
warmth,-0.05,reginald,25.296875,-0.109375
warmth,-0.05,richard,25.5,-0.34375
warmth,-0.05,robert,25.375,-0.15625
warmth,-0.05,robert krueger,25.0625,-0.375
warmth,-0.05,roderick,25.28125,-0.4375
warmth,-0.05,rose,25.625,-0.4375
warmth,-0.05,ryan,25.25,-0.34375
warmth,-0.05,samantha,25.28125,-0.21875
warmth,-0.05,samir sharma,25.34375,-0.40625
warmth,-0.05,sana khan,25.65625,-0.0625
warmth,-0.05,sandra,25.3125,-0.5625
warmth,-0.05,sarah,25.3125,-0.5
warmth,-0.05,sarah davis,25.109375,-0.453125
warmth,-0.05,scott,25.25,-0.34375
warmth,-0.05,shakir imtiaz,25.078125,-0.421875
warmth,-0.05,shannon,25.8125,-0.125
warmth,-0.05,sharon,25.8125,-0.28125
warmth,-0.05,shirley,25.5,-0.375
warmth,-0.05,shreya sharma,25.34375,-0.25
warmth,-0.05,sofiko kushtrim,25.3125,-0.34375
warmth,-0.05,steohen,13.5,-1.1875
warmth,-0.05,stephanie,25.59375,-0.40625
warmth,-0.05,stephen,25.4375,-0.15625
warmth,-0.05,steven,25.1875,-0.375
warmth,-0.05,susan,25.5,-0.21875
warmth,-0.05,tameka,25.1875,-0.34375
warmth,-0.05,tamika,25.4375,-0.53125
warmth,-0.05,tammy,25.34375,-0.40625
warmth,-0.05,tanisha,25.3125,-0.3125
warmth,-0.05,tanisha white,25.171875,-0.390625
warmth,-0.05,tao wang,25.625,-0.34375
warmth,-0.05,tara singh,25.40625,-0.5625
warmth,-0.05,tawanda,25.40625,-0.53125
warmth,-0.05,teresa,25.59375,-0.1875
warmth,-0.05,terrance,25.46875,-0.375
warmth,-0.05,terrell,25.46875,-0.3125
warmth,-0.05,thomas,25.25,-0.34375
warmth,-0.05,timothy,25.234375,-0.296875
warmth,-0.05,timoty,24.328125,-0.4375
warmth,-0.05,todd,25.046875,-0.578125
warmth,-0.05,tomeka,25.59375,-0.28125
warmth,-0.05,tracy,25.4375,-0.28125
warmth,-0.05,tremayne,25.375,-0.4375
warmth,-0.05,tyler,25.53125,-0.15625
warmth,-0.05,tyrone,25.34375,-0.5
warmth,-0.05,victoria,25.59375,-0.34375
warmth,-0.05,vivian zhang,25.3125,-0.4375
warmth,-0.05,wiliam,24.609375,-0.640625
warmth,-0.05,william,25.375,-0.21875
warmth,-0.05,william novak,25.140625,-0.296875
warmth,-0.05,xavier washington,25.34375,-0.4375
warmth,-0.05,xiuying zhang,25.40625,-0.4375
warmth,-0.05,yong zhang,25.4375,-0.375
warmth,-0.05,zachary,25.21875,-0.53125
warmth,0.0,aaliyah jackson,25.6875,0.0
warmth,0.0,aasha waabberi,25.5,0.0
warmth,0.0,abd al-hakiim amar,25.5625,0.0
warmth,0.0,abdullah abukar,25.625,0.0
warmth,0.0,abigail,25.875,0.0
warmth,0.0,abigale,25.65625,0.0
warmth,0.0,abu amjad khazin,25.40625,0.0
warmth,0.0,adam,25.59375,0.0
warmth,0.0,aferdita dzaghig,25.65625,0.0
